city,population,include,migration_2020,unemployment_rate,median_income,median_age,summer_comfort_index,winter_comfort_index,cost_of_living_index,mean_commute_time,mean_school_expense,student_per_teacher,violent_crime_index,property_crime_index,sales_tax_rate,income_tax_rate,health_cost_index,water_quality_index,air_quality_index,white_percent,black_percent,asian_percent,native_american_percent,pacific_islander_percent,other_percent,multiple_percent,hispanic_percent,population_density,median_house_price
Grand Mound,3642,1,0.466,0.059,60133,28.7,9.1,5.2,0.941,25.6,9698,18.9,13.4,46.2,0.088,0,0.784,0.5,0.74,0.651,0,0.006,0.015,0,0,0.087,0.242,871,283500
Grandview,10894,1,0.069,0.072,37012,28.2,8.8,5.4,0.906,20.1,9688,21.1,10.7,30.5,0.079,0,0.813,0.53,0.67,0.168,0.001,0.002,0.001,0,0,0.003,0.825,1721,283100
Granger,3603,1,0.162,0.072,39850,21.7,8.8,5.4,0.878,18.9,11101,18.6,9.5,32.9,0.079,0,0.813,0.53,0.86,0.109,0.013,0,0.008,0,0,0.007,0.863,2243,256600
Granite Falls,4447,1,0.101,0.063,50833,38.7,9.1,5.1,1.199,35.8,11193,20.8,13.6,42.6,0.089,0,0.801,0.53,0.79,0.927,0.009,0,0,0,0.005,0.06,0,2083,538200
Grapeview,786,1,0.108,0.077,56094,55.9,9.1,5.2,1.206,32.1,9844,14.8,10.5,32.1,0.085,0,0.811,0.5,0.77,0.875,0,0,0.029,0.033,0,0.064,0,299,605400
Grayland,783,1,-0.446,0.088,27361,59.3,8.5,5.3,0.834,25.8,12893,16.1,11.9,36.7,0.081,0,0.833,0.52,0.94,0.913,0,0,0,0,0,0,0.087,118,262700
Grays River,228,1,0.214,0.074,33125,59.4,8.7,5.1,0.9,0,10188,22.3,10.1,30.2,0.076,0,0.793,0.6,0.9,0.946,0,0,0,0,0,0.033,0.021,24,265100
Green Bluff,304,1,-0.332,0.063,78854,56.9,9.1,4,1.185,21.5,9200,20.6,7.3,22.2,0.081,0,0.82,0.38,0.7,1,0,0,0,0,0,0,0,77,405800
Greenwater,72,1,-0.75,0.068,15652,25,9,5.1,1.695,31.2,9859,20.8,16.4,50,0.099,0,0.8,0.6,0.84,1,0,0,0,0,0,0,0,21,551700
Hamilton,326,1,-0.641,0.07,38750,52.4,9.1,5.1,0.947,25.4,13839,19.1,12.3,36.9,0.085,0,0.791,0.52,0.93,0.91,0,0,0,0.018,0,0.03,0.042,275,264600
Hansville,3465,1,0.486,0.058,65859,55.5,9.2,5.6,1.312,30.3,9792,21.3,10.8,37.3,0.09,0,0.834,0.4,0.69,0.872,0.004,0.02,0.031,0,0,0.034,0.039,378,686700
Harrah,706,1,0.216,0.072,48000,27.7,8.9,5.1,0.87,18.9,12747,16.3,13.6,41,0.079,0,0.813,0.53,0.85,0.15,0.006,0,0.185,0,0.008,0.005,0.646,2940,262000
Harrington,437,1,-0.096,0.056,48456,46,9,4.4,0.781,24.3,25000,8.2,5,23.9,0.08,0,0.839,0.43,0.9,0.966,0,0,0,0,0,0.032,0.003,1077,143200
Hartline,191,1,0.5,0.071,36875,47.7,9,4.4,0.767,18.9,16807,12.2,10.8,33,0.079,0,0.827,0.5,0.93,0.961,0,0,0,0,0,0.039,0,464,240600
Hat Island,16,0,0.333,0.063,,,9.2,5.3,1.328,31.8,10418,19.9,7.1,22.6,0.103,0,0.801,0.53,0.56,1,0,0,0,0,0,0,0,76,731900
Hatton,468,1,0.41,0.055,4542,30,9.1,5.1,0.7,17.8,21477,12,13.2,40.1,0.079,0,0.81,0.28,0.89,0.791,0,0,0,0,0,0.012,0.198,285,345100
